Action ID,Action,Received by SMS provider,Delivered,Unique transitions,Total transitions,Unique visits ?
1308464,Отправка инструкции,135,131,82,83,9.16% (12)
1308465,Сброс 3 [ТРЕТЬЯ ВЕТКА],14,5,49,49,240.00% (12)
1308466,Автоответчик 3 [ТРЕТЬЯ ВЕТКА],17,6,32,32,133.33% (8)
1308467,Недозвон 3 [ТРЕТЬЯ ВЕТКА],24,10,38,38,100.00% (10)
1308471,Сброс 3 [ВТОРАЯ ВЕТКА],12,5,37,37,180.00% (9)
1308472,Автоответчик 3 [ВТОРАЯ ВЕТКА],23,8,64,64,200.00% (16)
1308475,Недозвон 3 [ВТОРАЯ ВЕТКА],19,4,32,32,200.00% (8)
1308477,Недозвон 3 [ПЕРВАЯ ВЕТКА],64,20,116,116,145.00% (29)
1308480,СМС дожим 3 CASUAL,1,,0,0,NaN% ()
1308485,СМС дожим 2 CASUAL,1,1,0,0,NaN% ()
1308488,Согласие 2 [ПЕРВАЯ ВЕТКА],2,,0,0,NaN% ()
1308489,Среднезаинтересован 2 Первая ветка,2,1,0,0,NaN% ()
1308496,Согласие 3 [ТРЕТЬЯ ВЕТКА],1,,0,0,NaN% ()
1308497,Среднезаинтересован 3 Третья ветка,3,,4,4,NaN% (1)
1308498,Согласие 2 [ВТОРАЯ ВЕТКА],3,1,0,0,NaN% ()
1308499,Согласие 3 [ВТОРАЯ ВЕТКА],2,1,4,4,100.00% (1)
1308501,Среднезаинтересован 3 Вторая ветка,2,1,4,4,100.00% (1)
1308503,Отправка СМС согласие [ПЕРВАЯ ВЕТКА],53,51,33,34,13.73% (7)
1308506,Среднезаинтереносван Первая ветка,82,81,48,48,8.64% (7)
1308508,Согласие 3[ПЕРВАЯ ВЕТКА],2,,4,4,NaN% (1)
1308509,Среднезаинтереносван 3 Первая ветка,1,,0,0,NaN% ()
1308681,СМС дожим 2 CASUAL,1,,0,0,NaN% ()
1308682,Сброс 2 [ПЕРВАЯ ВЕТКА],19,8,1,1,0.00% ()
1308685,Автоответчик 2 [ТРЕТЬЯ ВЕТКА],34,16,2,3,6.25% (1)
1308693,SMS Автоответчик [ВТОРАЯ ВЕТКА],353,319,172,173,8.15% (26)
1308695,СМС дожим CASUAL,7,7,7,7,0.00% ()
1308696,SMS Сброс [ТРЕТЬЯ ВЕТКА],517,497,299,299,11.47% (57)
1308697,SMS Сброс [ВТОРАЯ ВЕТКА],560,541,311,311,11.65% (63)
1308698,SMS Недозвон [ВТОРАЯ ВЕТКА],7,4,2,2,0.00% ()
1308699,SMS Недозвон [ТРЕТЬЯ ВЕТКА],10,7,6,6,14.29% (1)
1308700,SMS Автоответчик [ТРЕТЬЯ ВЕТКА],356,321,213,245,12.15% (39)
1308701,SMS Автоответчик [ПЕРВАЯ ВЕТКА],413,371,199,200,7.82% (29)
1308702,СМС дожим CASUAL,8,8,3,3,0.00% ()
1308703,Отправка СМС согласие [ТРЕТЬЯ ВЕТКА],52,51,45,45,21.57% (11)
1308705,СМС дожим CASUAL,5,5,3,3,0.00% ()
1308709,SMS Недозвон [ПЕРВАЯ ВЕТКА],7,6,6,6,16.67% (1)
1308710,Отправка СМС согласие [ВТОРАЯ ВЕТКА],72,71,45,48,18.31% (13)
1308711,SMS Сброс [ПЕРВАЯ ВЕТКА],512,498,268,268,9.84% (49)
1308712,Среднезаинтересован Вторая ветка,94,92,62,62,14.13% (13)
1308713,Среднезаинтересован 2 Вторая ветка,5,3,0,0,NaN% ()
1308714,Среднезаинтересован Третья ветка,122,118,68,68,11.02% (13)
1308715,Среднезаинтересован 2 Третья ветка,7,4,2,2,0.00% ()
1308721,Недозвон 2 [ВТОРАЯ ВЕТКА],148,82,49,49,12.20% (10)
1308722,Недозвон 2 [ТРЕТЬЯ ВЕТКА],146,81,35,35,9.88% (8)
1308724,Сброс 2 [ВТОРАЯ ВЕТКА],23,11,4,4,9.09% (1)
1308726,Автоответчик 2 [ПЕРВАЯ ВЕТКА],45,20,10,10,5.00% (1)
1308728,Недозвон 2 [ПЕРВАЯ ВЕТКА],139,70,25,25,5.71% (4)
1308729,Автоответчик 2 [ВТОРАЯ ВЕТКА],35,12,3,3,0.00% ()
1308730,Сброс 2 [ТРЕТЬЯ ВЕТКА],29,14,5,5,0.00% ()
1308737,Сброс 3 [ПЕРВАЯ ВЕТКА],11,4,29,29,175.00% (7)
1308738,Автоответчик 3 [ПЕРВАЯ ВЕТКА],23,7,61,61,200.00% (14)
1308751,Согласие 2 [ТРЕТЬЯ ВЕТКА],1,,0,0,NaN% ()
